run_accession	sample_accession	sample_title	library_name	collection_date	country
SRR31465418	SAMN45004436	MIMARKS Survey related sample from metagenome	65_S65_L001	2021-05-17	Hungary
SRR31465419	SAMN45004435	MIMARKS Survey related sample from metagenome	64_S64_L001	2021-12-12	Hungary
SRR31465428	SAMN45004427	MIMARKS Survey related sample from metagenome	56_S56_L001	2021-05-19	Hungary
SRR31465436	SAMN45004420	MIMARKS Survey related sample from metagenome	49_S49_L001	2021-11-04	Hungary
SRR31465437	SAMN45004419	MIMARKS Survey related sample from metagenome	48_S48_L001	2021-10-18	Hungary
SRR31465439	SAMN45004417	MIMARKS Survey related sample from metagenome	46_S46_L001	2021-09-22	Hungary
SRR31465441	SAMN45004415	MIMARKS Survey related sample from metagenome	44_S44_L001	2021-08-03	Hungary
SRR31465443	SAMN45004413	MIMARKS Survey related sample from metagenome	42_S42_L001	2021-06-01	Hungary
SRR31465446	SAMN45004411	MIMARKS Survey related sample from metagenome	40_S40_L001	2021-04-16	Hungary
SRR31465447	SAMN45004410	MIMARKS Survey related sample from metagenome	39_S39_L001	2021-03-02	Hungary
SRR31465451	SAMN45004406	MIMARKS Survey related sample from metagenome	35_S35_L001	2021-12-11	Hungary
SRR31465464	SAMN45004394	MIMARKS Survey related sample from metagenome	23_S23_L001	2021-05-12	Hungary
SRR31465466	SAMN45004392	MIMARKS Survey related sample from metagenome	21_S21_L001	2021-03-02	Hungary
SRR31465467	SAMN45004374	MIMARKS Survey related sample from metagenome	3_pskin16	2021-03-02	Hungary
SRR31465469	SAMN45004390	MIMARKS Survey related sample from metagenome	19_S19_L001	2021-02-26	Hungary
SRR31465476	SAMN45004383	MIMARKS Survey related sample from metagenome	12_S12_L001	2021-10-18	Hungary
SRR31465481	SAMN45004463	MIMARKS Survey related sample from metagenome	92_S92_L001	2021-11-19	Hungary
SRR31465485	SAMN45004460	MIMARKS Survey related sample from metagenome	89_S89_L001	2021-06-20	Hungary
SRR31465486	SAMN45004459	MIMARKS Survey related sample from metagenome	88_S88_L001	2021-03-19	Hungary
SRR31465490	SAMN45004455	MIMARKS Survey related sample from metagenome	84_S84_L001	2021-11-19	Hungary
SRR31465494	SAMN45004380	MIMARKS Survey related sample from metagenome	9_S9_L001	2021-08-11	Hungary
SRR31465495	SAMN45004451	MIMARKS Survey related sample from metagenome	80_S80_L001	2021-03-19	Hungary
SRR31465504	SAMN45004442	MIMARKS Survey related sample from metagenome	71_S71_L001	2021-03-17	Hungary
SRR31465508	SAMN45004439	MIMARKS Survey related sample from metagenome	68_S68_L001	2021-11-09	Hungary
SRR31465416	SAMN45004438	MIMARKS Survey related sample from metagenome	67_S67_L001	2021-10-12	Hungary
SRR31465421	SAMN45004433	MIMARKS Survey related sample from metagenome	62_S62_L001	2021-10-12	Hungary
SRR31465424	SAMN45004431	MIMARKS Survey related sample from metagenome	60_S60_L001	2021-05-17	Hungary
SRR31465426	SAMN45004429	MIMARKS Survey related sample from metagenome	58_S58_L001	2021-11-09	Hungary
SRR31465430	SAMN45004425	MIMARKS Survey related sample from metagenome	54_S54_L001	2021-12-19	Hungary
SRR31465431	SAMN45004424	MIMARKS Survey related sample from metagenome	53_S53_L001	2021-12-11	Hungary
SRR31465433	SAMN45004422	MIMARKS Survey related sample from metagenome	51_S51_L001	2021-12-07	Hungary
SRR31465435	SAMN45004421	MIMARKS Survey related sample from metagenome	50_S50_L001	2021-11-24	Hungary
SRR31465438	SAMN45004418	MIMARKS Survey related sample from metagenome	47_S47_L001	2021-10-11	Hungary
SRR31465440	SAMN45004416	MIMARKS Survey related sample from metagenome	45_S45_L001	2021-08-11	Hungary
SRR31465444	SAMN45004412	MIMARKS Survey related sample from metagenome	41_S41_L001	2021-05-12	Hungary
SRR31465445	SAMN45004376	MIMARKS Survey related sample from metagenome	5_S5_L001	2021-05-12	Hungary
SRR31465448	SAMN45004409	MIMARKS Survey related sample from metagenome	38_S38_L001	2021-03-01	Hungary
SRR31465449	SAMN45004408	MIMARKS Survey related sample from metagenome	37_S37_L001	2022-02-26	Hungary
SRR31465450	SAMN45004407	MIMARKS Survey related sample from metagenome	36_S36_L001	2021-12-19	Hungary
SRR31465452	SAMN45004405	MIMARKS Survey related sample from metagenome	34_S34_L001	2021-12-08	Hungary
SRR31465456	SAMN45004375	MIMARKS Survey related sample from metagenome	4_S4_L001	2021-04-16	Hungary
SRR31465457	SAMN45004401	MIMARKS Survey related sample from metagenome	30_S30_L001	2021-10-18	Hungary
SRR31465458	SAMN45004400	MIMARKS Survey related sample from metagenome	29_S29_L001	2021-10-11	Hungary
SRR31465459	SAMN45004399	MIMARKS Survey related sample from metagenome	28_S28_L001	2021-09-22	Hungary
SRR31465460	SAMN45004398	MIMARKS Survey related sample from metagenome	27_S27_L001	2021-08-11	Hungary
SRR31465471	SAMN45004388	MIMARKS Survey related sample from metagenome	17_S17_L001	2021-12-11	Hungary
SRR31465474	SAMN45004385	MIMARKS Survey related sample from metagenome	14_S14_L001	2021-11-24	Hungary
SRR31465484	SAMN45004461	MIMARKS Survey related sample from metagenome	90_S90_L001	2021-07-21	Hungary
SRR31465488	SAMN45004457	MIMARKS Survey related sample from metagenome	86_S86_L001	2021-03-15	Hungary
SRR31465489	SAMN45004456	MIMARKS Survey related sample from metagenome	85_S85_L001	2021-11-23	Hungary
SRR31465492	SAMN45004453	MIMARKS Survey related sample from metagenome	82_S82_L001	2021-07-21	Hungary
SRR31465493	SAMN45004452	MIMARKS Survey related sample from metagenome	81_S81_L001	2021-06-20	Hungary
SRR31465497	SAMN45004449	MIMARKS Survey related sample from metagenome	78_S78_L001	2021-03-15	Hungary
SRR31465498	SAMN45004448	MIMARKS Survey related sample from metagenome	77_S77_L001	2021-11-23	Hungary
SRR31465500	SAMN45004446	MIMARKS Survey related sample from metagenome	75_S75_L001	2021-08-21	Hungary
SRR31465502	SAMN45004444	MIMARKS Survey related sample from metagenome	73_S73_L001	2021-06-20	Hungary
SRR31465417	SAMN45004437	MIMARKS Survey related sample from metagenome	66_S66_L001	2021-05-19	Hungary
SRR31465420	SAMN45004434	MIMARKS Survey related sample from metagenome	63_S63_L001	2021-11-09	Hungary
SRR31465422	SAMN45004432	MIMARKS Survey related sample from metagenome	61_S61_L001	2021-05-19	Hungary
SRR31465423	SAMN45004378	MIMARKS Survey related sample from metagenome	7_S7_L001	2021-07-11	Hungary
SRR31465425	SAMN45004430	MIMARKS Survey related sample from metagenome	59_S59_L001	2021-12-12	Hungary
SRR31465427	SAMN45004428	MIMARKS Survey related sample from metagenome	57_S57_L001	2021-10-12	Hungary
SRR31465429	SAMN45004426	MIMARKS Survey related sample from metagenome	55_S55_L001	2021-05-17	Hungary
SRR31465432	SAMN45004423	MIMARKS Survey related sample from metagenome	52_S52_L001	2021-12-08	Hungary
SRR31465434	SAMN45004377	MIMARKS Survey related sample from metagenome	6_S6_L001	2021-06-01	Hungary
SRR31465442	SAMN45004414	MIMARKS Survey related sample from metagenome	43_S43_L001	2021-07-11	Hungary
SRR31465453	SAMN45004404	MIMARKS Survey related sample from metagenome	33_S33_L001	2021-12-07	Hungary
SRR31465454	SAMN45004403	MIMARKS Survey related sample from metagenome	32_S32_L001	2021-11-24	Hungary
SRR31465455	SAMN45004402	MIMARKS Survey related sample from metagenome	31_S31_L001	2021-11-04	Hungary
SRR31465461	SAMN45004397	MIMARKS Survey related sample from metagenome	26_S26_L001	2021-08-03	Hungary
SRR31465462	SAMN45004396	MIMARKS Survey related sample from metagenome	25_S25_L001	2021-07-11	Hungary
SRR31465463	SAMN45004395	MIMARKS Survey related sample from metagenome	24_S24_L001	2021-06-01	Hungary
SRR31465465	SAMN45004393	MIMARKS Survey related sample from metagenome	22_S22_L001	2021-04-16	Hungary
